9.672, W, L_{b1}
9.689, Ge, K_{a3}
9.713, Au, L_{a1}
9.73, Tm, L_{g2}
9.779, Tm, L_{g3}
9.78, Yb, L_{g1}
9.819, W, L_{b3}
9.845, Re, L_{b4}
9.855, Ge, K_{a2}
9.875, Ta, L_{b5}
9.886, Ge, K_{a1}
9.897, At, L_{l}
9.899, Hg, L_{a2}
9.91, Re, L_{b6}
9.955, W, L_{b2}
9.975, Pt, L_{h}
9.989, Hg, L_{a1}
10.01, Re, L_{b1}
10.09, Yb, L_{g2}
10.137, Rn, L_{l}
10.143, Yb, L_{g3}
10.144, Lu, L_{g1}
10.159, Re, L_{b3}
10.172, Tl, L_{a2}
10.176, Os, L_{b4}
10.201, W, L_{b5}
10.217, Os, L_{b6}
10.26, Ga, K_{b3}
10.264, Ga, K_{b1}
10.268, Tl, L_{a1}
10.268, Re, L_{b2}
10.309, Au, L_{h}
10.34, As, K_{a3}
10.344, Lu, L_{g6}
10.35, Ga, K_{b5}
10.354, Os, L_{b1}
10.366, Ga, K_{b2}
10.367, Ga, K_{b4}
10.381, Fr, L_{l}
10.45, Pb, L_{a2}
10.46, Lu, L_{g2}
10.508, As, K_{a2}
10.51, Ir, L_{b4}
10.511, Lu, L_{g3}
10.511, Os, L_{b3}
10.516, Hf, L_{g1}
10.525, Ir, L_{b6}
10.532, Re, L_{b5}
10.544, As, K_{a1}
10.551, Pb, L_{a1}
10.59, Os, L_{b2}
10.622, Ra, L_{l}
10.647, Hg, L_{h}
10.708, Ir, L_{b1}
10.731, Bi, L_{a2}
10.733, Hf, L_{g6}
10.834, Hf, L_{g2}
10.839, Bi, L_{a1}
10.84, Pt, L_{b6}
10.854, Pt, L_{b4}
10.868, Ir, L_{b3}
10.871, Os, L_{b5}
10.871, Ac, L_{l}
10.89, Hf, L_{g3}
10.895, Ta, L_{g1}
10.912, Ir, L_{b2}
10.975, Ge, K_{b3}
10.982, Ge, K_{b1}
10.994, Tl, L_{h}
11.004, Se, K_{a3}
11.016, Po, L_{a2}
11.071, Pt, L_{b1}
11.074, Ge, K_{b5}
11.101, Ge, K_{b2}
11.103, Ge, K_{b4}
11.118, Th, L_{l}
11.13, Ta, L_{g6}
11.13, Po, L_{a1}
11.16, Au, L_{b6}
11.182, Se, K_{a2}
11.205, Au, L_{b4}
11.211, Ir, L_{b5}
11.217, Ta, L_{g2}
11.222, Se, K_{a1}
11.235, Pt, L_{b3}
11.242, Pt, L_{b2}
11.277, Ta, L_{g3}
11.285, W, L_{g1}
11.306, At, L_{a2}
11.349, Pb, L_{h}
11.372, Pa, L_{l}
11.426, At, L_{a1}
11.442, Au, L_{b1}
11.481, Hg, L_{b6}
11.538, W, L_{g6}
11.561, Hg, L_{b4}
11.562, Pt, L_{b5}
11.576, Au, L_{b2}
11.598, Rn, L_{a2}
11.608, W, L_{g2}
11.61, Au, L_{b3}
11.62, U, L_{l}
11.675, W, L_{g3}
11.685, Re, L_{g1}
11.692, Br, K_{a3}
11.712, Bi, L_{h}
11.72, As, K_{b3}
11.726, As, K_{b1}
11.726, Rn, L_{a1}
11.812, Tl, L_{b6}
11.824, Hg, L_{b1}
11.826, As, K_{b5}
11.864, As, K_{b2}
11.867, As, K_{b4}
11.871, Np, L_{l}
11.878, Br, K_{a2}
11.896, Fr, L_{a2}
11.915, Hg, L_{b2}
11.916, Au, L_{b5}
11.924, Br, K_{a1}
11.931, Tl, L_{b4}
11.955, Re, L_{g6}
11.992, Hg, L_{b3}
12.009, Re, L_{g2}
12.031, Fr, L_{a1}
12.082, Re, L_{g3}
12.085, Po, L_{h}
12.096, Os, L_{g1}
12.124, Pu, L_{l}
12.142, Pb, L_{b6}
12.196, Ra, L_{a2}
12.213, Tl, L_{b1}
12.261, Tl, L_{b2}
12.275, Hg, L_{b5}
12.307, Pb, L_{b4}
12.339, Ra, L_{a1}
12.385, Os, L_{g6}
12.39, Tl, L_{b3}
12.405, Kr, K_{a3}
12.422, Os, L_{g2}
12.466, At, L_{h}
12.48, Bi, L_{b6}
12.49, Se, K_{b3}
12.496, Se, K_{b1}
12.5, Ac, L_{a2}
12.5, Os, L_{g3}
12.513, Ir, L_{g1}
12.598, Kr, K_{a2}
12.601, Se, K_{b5}
12.611, Pb, L_{b2}
12.614, Pb, L_{b1}
12.633, Cm, L_{l}
12.643, Tl, L_{b5}
12.651, Ac, L_{a1}
12.651, Kr, K_{a1}
12.652, Se, K_{b2}
12.658, Se, K_{b4}
12.691, Bi, L_{b4}
12.794, Pb, L_{b3}
12.809, Th, L_{a2}
12.82, Ir, L_{g6}
12.823, Po, L_{b6}
12.841, Ir, L_{g2}
12.855, Rn, L_{h}
12.89, Bk, L_{l}
12.924, Ir, L_{g3}
12.942, Pt, L_{g1}
12.967, Bi, L_{b2}
12.968, Th, L_{a1}
13.015, Pb, L_{b5}
13.023, Bi, L_{b1}
13.084, Po, L_{b4}
13.127, Pa, L_{a2}
13.135, Rb, K_{a3}
13.146, Cf, L_{l}
13.169, At, L_{b6}
13.211, Bi, L_{b3}
13.255, Fr, L_{h}
13.271, Pt, L_{g6}
13.273, Pt, L_{g2}
13.284, Br, K_{b3}
13.291, Pa, L_{a1}
13.292, Br, K_{b1}
13.328, Po, L_{b2}
13.336, Rb, K_{a2}
13.361, Pt, L_{g3}
13.377, Am, L_{l}
13.382, Au, L_{g1}
13.393, Bi, L_{b5}
13.395, Rb, K_{a1}
13.403, Es, L_{l}
13.404, Br, K_{b5}
13.442, U, L_{a2}
13.443, Po, L_{b1}
13.469, Br, K_{b2}
13.474, Br, K_{b4}
13.488, At, L_{b4}
13.52, Rn, L_{b6}
13.618, U, L_{a1}
13.635, Po, L_{b3}
13.66, Fm, L_{l}
13.662, Ra, L_{h}
13.694, At, L_{b2}
13.709, Au, L_{g2}
13.731, Au, L_{g6}
13.761, Np, L_{a2}
13.778, Po, L_{b5}
13.807, Au, L_{g3}
13.83, Hg, L_{g1}
13.875, At, L_{b1}
13.877, Fr, L_{b6}
13.888, Sr, K_{a3}
13.898, Rn, L_{b4}
13.916, Md, L_{l}
13.946, Np, L_{a1}
14.066, Rn, L_{b2}
14.073, At, L_{b3}
14.082, Ac, L_{h}
14.087, Pu, L_{a2}
14.098, Sr, K_{a2}
14.104, Kr, K_{b3}
14.111, Kr, K_{b1}
14.158, Hg, L_{g2}
14.165, Sr, K_{a1}
14.168, At, L_{b5}
14.173, No, L_{l}
14.199, Hg, L_{g6}
14.231, Kr, K_{b5}
